IPTV,#genre#
J2,http://rqd.mytvh.top:10121/stream/channelid/512223589?ticket=e214f01a0674725cf242e7e25c81781fc3a29b08&profile=pass
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
星河台,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
翡翠台,http://ali.hlspull.yximgs.com/live/kzrmcucpyaacmghdtzqrlzjifffeicui.flv
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
CCTV4K,http://php.jdshipin.com:8880/bst.php?id=cctv4k/15000000
CCTV1,http://hy.baojihzjc.com:9001/udp/239.109.205.118:8880
CCTV2,http://hy.baojihzjc.com:9001/udp/239.109.205.106:8784
CCTV3,http://hy.baojihzjc.com:9001/udp/239.109.205.79:8568
CCTV4,http://hy.baojihzjc.com:9001/udp/239.109.205.159:9108
CCTV5,http://hy.baojihzjc.com:9001/udp/239.112.205.222:5140
CCTV5+,http://hy.baojihzjc.com:9001/udp/239.109.205.214:9208
CCTV5+,http://hy.baojihzjc.com:9001/udp/239.111.205.13:5140
CCTV6,http://hy.baojihzjc.com:9001/udp/239.109.205.84:8608
CCTV7,http://hy.baojihzjc.com:9001/udp/239.110.205.7:9774
CCTV8,http://hy.baojihzjc.com:9001/udp/239.109.205.90:8656
CCTV9,http://hy.baojihzjc.com:9001/udp/239.110.205.8:9778
CCTV10,http://hy.baojihzjc.com:9001/udp/239.110.205.9:9782
CCTV11,http://hy.baojihzjc.com:9001/udp/239.109.205.102:8752
CCTV12,http://hy.baojihzjc.com:9001/udp/239.110.205.10:9786
CCTV13,http://hy.baojihzjc.com:9001/udp/239.111.205.53:5140
CCTV14,http://hy.baojihzjc.com:9001/udp/239.110.205.20:9826
CCTV15,http://hy.baojihzjc.com:9001/udp/239.109.205.103:8760
CCTV16,http://hy.baojihzjc.com:9001/udp/239.111.205.133:5140
CCTV17,http://hy.baojihzjc.com:9001/udp/239.109.205.88:8640
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东体育,https://php.17186.eu.org/gdtv/gdty.m3u8
广东珠江,http://112.91.153.50:9901/tsfile/live/0109_1.m3u8
岭南戏曲,http://108m64s098.yicp.fun:8808/rtp/239.77.0.16:5146
广东卫视,http://125.210.152.21:9121/live/hzgq-gdwsgq-h264.m3u8
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
北京卫视,http://125.210.152.21:9121/live/hzgq-bjgqws-h264.m3u8
湖南卫视,http://125.210.152.21:9121/live/hzgq-hnwsgq-h264.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://113.64.145.84:8081/hls/38/index.m3u8
东方卫视,http://125.210.152.21:9121/live/hzgq-dftvgq-h264.m3u8
江苏卫视,http://125.210.152.21:9121/live/hzgq-jswsgq-h264.m3u8
浙江卫视,http://125.210.152.21:9121/live/hzgq-zjwsgq-h264.m3u8
东南卫视,http://125.210.152.21:9121/live/hzgq-fjwsgq-h264.m3u8
湖北卫视,http://125.210.152.21:9121/live/hzgq-hbwsgq-h264.m3u8
四川卫视,http://125.210.152.21:9121/live/hszx-sctv-h264.m3u8
天津卫视,http://125.210.152.21:9121/live/hzgq-tjwsgq-h264.m3u8
深圳卫视,http://125.210.152.21:9121/live/hzgq-szwsgq-h264.m3u8
安徽卫视,http://125.210.152.21:9121/live/hzgq-ahwsgq-h264.m3u8
江西卫视,http://125.210.152.21:9121/live/hzgq-jxwsgq-h264.m3u8
山东卫视,http://125.210.152.21:9121/live/hzgq-sdwsgq-h264.m3u8
辽宁卫视,http://125.210.152.21:9121/live/hzgq-lnwsgq-h264.m3u8
贵州卫视,http://125.210.152.21:9121/live/hszx-gztv-h264.m3u8
黑龙江卫视,http://125.210.152.21:9121/live/hzgq-hljwsgq-h264.m3u8
厦门卫视,http://36.62.111.102:10001/udp/238.1.78.246:7840
重庆卫视,http://125.210.152.21:9121/live/hzgq-cqwsgq-h264.m3u8
吉林卫视,http://125.210.152.21:9121/live/hzgq-jlwsgq-h264.m3u8
云南卫视,http://125.210.152.21:9121/live/hzgq-ynwsgq-h264.m3u8
海南卫视,http://125.210.152.21:9121/live/hszx-lytv-h264.m3u8
山西卫视,http://125.210.152.21:9121/live/hszx-shanxitv-h264.m3u8
甘肃卫视,http://125.210.152.21:9121/live/hszx-gstv-h264.m3u8
河北卫视,http://125.210.152.21:9121/live/hzgq-hbwsgq1-h264.m3u8
陕西卫视,http://125.210.152.21:9121/live/hszx-sxtv-h264.m3u8
河南卫视,http://125.210.152.21:9121/live/hzgq-henanwsgq-h264.m3u8
内蒙古卫视,http://125.210.152.21:9121/live/hszx-nmgtv-h264.m3u8
广西卫视,http://125.210.152.21:9121/live/hszx-gxtv-h264.m3u8
宁夏卫视,http://125.210.152.21:9121/live/hszx-nxtv-h264.m3u8
西藏卫视,http://125.210.152.21:9121/live/hszx-xztv-h264.m3u8
青海卫视,http://125.210.152.21:9121/live/hszx-qhtv-h264.m3u8
兵团卫视,http://125.210.152.21:9121/live/hszx-bttv-h264.m3u8
新疆卫视,http://125.210.152.21:9121/live/hszx-xjtv-h264.m3u8
三沙卫视,http://125.210.152.21:9121/live/hzgq-ssws-h264.m3u8
CCTV兵器科技,http://108m64s098.yicp.fun:8808/rtp/239.253.43.18:5146
CCTV兵器科技,http://108m64s098.yicp.fun:8808/rtp/239.253.43.9:5146
CCTV电视指南,http://108m64s098.yicp.fun:8808/rtp/239.253.43.19:5146
CCTV电视指南,http://108m64s098.yicp.fun:8808/rtp/239.253.43.10:5146
CCTV风云足球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.20:5146
CCTV风云足球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.14:5146
CCTV央视台球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.21:5146
CCTV央视台球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.11:5146
CCTV高尔夫网球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.22:5146
CCTV高尔夫网球,http://108m64s098.yicp.fun:8808/rtp/239.253.43.12:5146
CCTV女性时尚,http://108m64s098.yicp.fun:8808/rtp/239.253.43.23:5146
